Date,Number of Crimes,Rain,Average Temp (NOAA),Average Temp (Wunderland),Average Temp (Combined)
2020-03-31,226,NO,57.0,56.0,56.5
2019-04-01,422,YES,57.5,56.9,57.2
2020-04-01,313,NO,52.5,54.1,53.3
2019-04-02,355,YES,56.5,56.3,56.4
2020-04-02,241,NO,53.0,52.8,52.9
2019-04-03,519,NO,56.0,56.0,56.0
2020-04-03,245,NO,52.5,52.7,52.6
2019-04-04,428,YES,58.0,56.3,57.15
2020-04-04,219,YES,51.5,53.3,52.4
2019-04-05,400,YES,58.0,57.3,57.65
2020-04-05,223,YES,51.0,52.8,51.9
2019-04-06,361,YES,60.5,59.6,60.05
2020-04-06,223,YES,48.0,47.6,47.8
2019-04-07,416,NO,61.5,60.4,60.95
2020-04-07,269,NO,53.0,50.3,51.65
2019-04-08,430,YES,62.0,60.7,61.35
2020-04-08,270,NO,54.0,55.0,54.5
2019-04-09,363,NO,57.0,57.0,57.0
2020-04-09,241,NO,56.5,56.8,56.65
2019-04-10,467,NO,56.5,56.7,56.6
2020-04-10,258,NO,56.5,57.0,56.75
2019-04-11,437,NO,56.0,54.7,55.35
2020-04-11,302,NO,53.5,54.4,53.95
2019-04-12,367,NO,57.0,55.6,56.3
2020-04-12,269,NO,56.5,55.2,55.85
2019-04-13,372,NO,59.5,56.4,57.95
2020-04-13,283,NO,57.5,56.1,56.8
2019-04-14,345,NO,53.5,53.3,53.4
2020-04-14,317,NO,62.5,60.8,61.65
2019-04-15,387,YES,53.0,53.7,53.35
2020-04-15,312,NO,60.5,58.8,59.65
2019-04-16,377,YES,55.5,55.4,55.45
2020-04-16,256,NO,54.0,55.4,54.7
2019-04-17,414,NO,57.5,56.8,57.15
2020-04-17,263,NO,55.5,56.5,56.0
2019-04-18,402,NO,63.0,60.1,61.55
2020-04-18,230,NO,58.0,57.9,57.95
2019-04-19,426,NO,55.5,56.8,56.15
2020-04-19,274,NO,57.5,57.3,57.4
2019-04-20,375,YES,54.5,54.2,54.35
2020-04-20,327,NO,55.5,56.8,56.15
2019-04-21,324,NO,56.0,54.6,55.3
2020-04-21,224,NO,57.0,56.2,56.6
2019-04-22,382,NO,61.5,58.5,60.0
2020-04-22,249,NO,59.5,58.9,59.2
2019-04-23,386,NO,68.0,67.0,67.5
2020-04-23,261,NO,61.0,59.6,60.3
2019-04-24,434,NO,65.0,63.5,64.25
2020-04-24,308,NO,64.0,61.5,62.75
2019-04-25,318,NO,56.0,56.6,56.3
2020-04-25,271,NO,62.0,62.5,62.25
2019-04-26,373,NO,57.5,57.8,57.65
2020-04-26,292,NO,55.5,58.9,57.2
2019-04-27,389,NO,56.5,58.3,57.4
2020-04-27,277,NO,59.5,59.8,59.65
2019-04-28,346,NO,55.5,55.8,55.65
2020-04-28,274,NO,62.5,59.6,61.05
2019-04-29,337,NO,56.5,58.0,57.25
2020-04-29,275,NO,56.5,57.5,57.0
2019-04-30,376,NO,56.5,57.1,56.8
2020-04-30,250,NO,57.5,56.8,57.15
2019-05-01,480,NO,57.5,58.4,57.95
2020-05-01,322,NO,57.5,58.6,58.05
2019-05-02,332,NO,58.0,58.4,58.2
2020-05-02,275,NO,58.5,59.9,59.2
2019-05-03,429,NO,55.5,56.3,55.9
2020-05-03,254,NO,56.0,56.5,56.25
2019-05-04,341,NO,54.5,54.9,54.7
2020-05-04,309,NO,58.5,58.0,58.25
2019-05-05,413,NO,55.0,55.6,55.3
2020-05-05,344,NO,57.0,58.1,57.55
2019-05-06,429,NO,55.5,56.7,56.1
2020-05-06,273,NO,61.5,60.7,61.1
2019-05-07,402,NO,57.0,57.5,57.25
2020-05-07,278,NO,64.5,62.7,63.6
2019-05-08,381,NO,57.0,60.1,58.55
2020-05-08,287,NO,63.5,60.3,61.9
2019-05-09,373,NO,57.5,59.0,58.25
2020-05-09,256,NO,55.5,56.2,55.85
2019-05-10,387,NO,58.0,59.4,58.7
2020-05-10,258,NO,58.0,58.8,58.4
2019-05-11,368,NO,57.0,58.2,57.6
2020-05-11,257,YES,60.5,59.6,60.05
2019-05-12,356,NO,56.0,57.1,56.55
2020-05-12,287,YES,58.5,58.8,58.65
2019-05-13,395,NO,56.0,57.1,56.55
2020-05-13,291,YES,58.0,59.5,58.75
2019-05-14,394,NO,57.5,59.0,58.25
2020-05-14,304,YES,58.5,61.2,59.85
2019-05-15,396,YES,58.0,59.5,58.75
2020-05-15,319,YES,59.5,59.4,59.45
2019-05-16,367,YES,54.5,55.6,55.05
2020-05-16,294,NO,62.0,63.0,62.5
2019-05-17,402,NO,55.5,57.0,56.25
2020-05-17,272,YES,63.0,62.8,62.9
2019-05-18,390,YES,54.0,54.1,54.05
2020-05-18,294,YES,59.0,58.9,58.95
2019-05-19,388,YES,54.5,55.8,55.15
2020-05-19,345,NO,58.5,59.5,59.0
2019-05-20,401,YES,56.0,56.0,56.0
2020-05-20,344,NO,59.0,58.8,58.9
2019-05-21,304,YES,55.5,56.0,55.75
2020-05-21,324,NO,60.0,59.5,59.75
2019-05-22,447,NO,58.5,58.2,58.35
2020-05-22,347,NO,59.0,58.2,58.6
2019-05-23,370,NO,58.0,60.4,59.2
2020-05-23,289,NO,61.0,59.7,60.35
2019-05-24,479,NO,58.0,58.9,58.45
2020-05-24,259,NO,62.5,62.0,62.25
2019-05-25,399,NO,57.5,57.5,57.5
2020-05-25,282,NO,68.0,67.3,67.65
2019-05-26,395,YES,54.0,55.2,54.6
2020-05-26,301,NO,68.5,71.4,69.95
2019-05-27,349,NO,55.0,56.4,55.7
2020-05-27,267,NO,63.0,65.1,64.05
2019-05-28,404,NO,57.0,57.6,57.3
2020-05-28,316,NO,57.5,58.8,58.15
2019-05-29,385,NO,59.5,57.6,58.55
2020-05-29,298,NO,60.0,61.2,60.6
2019-05-30,420,NO,53.5,55.5,54.5
2020-05-30,486,YES,63.0,64.6,63.8
2019-05-31,426,NO,58.0,57.5,57.75
2020-05-31,450,NO,59.0,60.5,59.75
2019-06-01,459,NO,57.5,59.4,58.45
2020-06-01,440,NO,60.5,61.7,61.1
2019-06-02,365,NO,58.0,60.2,59.1
2020-06-02,286,NO,67.0,68.7,67.85
2019-06-03,416,NO,57.0,58.7,57.85
2020-06-03,328,NO,70.0,68.8,69.4
2019-06-04,407,NO,62.0,63.0,62.5
2020-06-04,284,NO,64.0,64.9,64.45
2019-06-05,389,NO,63.0,62.0,62.5
2020-06-05,288,NO,58.0,58.4,58.2
2019-06-06,389,NO,56.0,57.0,56.5
2020-06-06,257,NO,58.5,58.6,58.55
2019-06-07,437,NO,59.0,59.0,59.0
2020-06-07,278,NO,57.0,58.6,57.8
2019-06-08,369,NO,68.0,68.4,68.2
2020-06-08,292,NO,61.5,62.0,61.75
2019-06-09,315,NO,76.0,75.2,75.6
2020-06-09,313,NO,64.0,64.3,64.15
2019-06-10,393,NO,84.5,79.0,81.75
2020-06-10,289,NO,63.5,62.8,63.15
2019-06-11,415,NO,80.0,78.3,79.15
2020-06-11,286,NO,61.5,62.7,62.1
2019-06-12,432,NO,68.5,71.9,70.2
2020-06-12,351,NO,59.0,60.1,59.55
2019-06-13,371,NO,59.0,62.3,60.65
2020-06-13,270,NO,60.0,61.2,60.6
2019-06-14,385,NO,57.5,58.2,57.85
2020-06-14,253,NO,60.5,62.0,61.25
2019-06-15,411,NO,55.5,56.8,56.15
2020-06-15,308,NO,61.5,61.6,61.55
2019-06-16,333,NO,55.5,58.2,56.85
2020-06-16,292,NO,60.0,60.2,60.1
2019-06-17,385,NO,59.5,62.1,60.8
2020-06-17,322,NO,66.5,66.8,66.65
2019-06-18,391,NO,59.5,62.5,61.0
2020-06-18,280,NO,69.0,67.8,68.4
2019-06-19,440,NO,60.5,62.9,61.7
2020-06-19,347,NO,58.5,61.8,60.15
2019-06-20,394,NO,60.0,63.1,61.55
2020-06-20,272,NO,58.5,60.6,59.55
2019-06-21,404,NO,60.5,61.6,61.05
2020-06-21,223,NO,59.5,61.6,60.55
2019-06-22,379,NO,63.0,64.8,63.9
2020-06-22,295,NO,60.5,63.2,61.85
2019-06-23,356,NO,64.0,64.8,64.4
2020-06-23,270,NO,59.5,63.1,61.3
2019-06-24,408,NO,61.0,62.5,61.75
2020-06-24,342,NO,61.0,63.1,62.05
2019-06-25,396,NO,61.0,63.3,62.15
2020-06-25,292,NO,59.0,61.9,60.45
2019-06-26,406,NO,60.5,62.0,61.25
